Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
9-June-2021,745.00,751.45,730.05,736.55,742.361070528822372280,173858,5747,129065411.00,46602,26.80,21.40,-8.45
8-June-2021,750.70,750.70,739.50,746.10,744.763818023723196561,182859,7174,136186767.00,74885,40.95,11.20,-4.60
7-June-2021,742.10,753.70,741.35,751.10,742.643818453512382729,4216639,9569,3131460888.00,4091059,97.02,12.35,9.00
4-June-2021,749.60,760.10,740.00,742.10,748.579259023980760941,264462,6993,197970768.00,53145,20.10,20.10,-7.50
3-June-2021,743.35,752.00,739.05,750.45,746.603048422449226576,446198,12543,333132787.00,270997,60.73,12.95,7.10
2-June-2021,746.00,746.10,734.20,737.05,737.070943183257892493,173646,4935,127989421.00,57472,33.10,11.90,-8.95
1-June-2021,752.30,753.15,741.35,745.10,745.788117463500420891,186509,5476,139096196.00,39084,20.96,11.80,-7.20
31-May-2021,740.00,752.85,734.10,750.25,745.285451128840688144,404973,10906,301820485.00,169066,41.75,18.75,10.25
28-May-2021,753.60,759.75,738.35,739.95,749.128474291014293348,325606,8776,243920726.00,78341,24.06,21.40,-13.65
27-May-2021,735.20,754.00,731.05,750.25,744.348867496125886967,380087,8130,282917328.00,140255,36.90,22.95,15.05
26-May-2021,737.00,741.30,729.55,735.00,736.951412998151863065,405273,10058,298666510.00,160542,39.61,11.75,-2.00
25-May-2021,744.85,744.85,726.15,731.60,734.921992595132459849,288729,6771,212193292.00,75307,26.08,18.70,-13.25
24-May-2021,730.00,747.50,726.90,740.95,737.372855520758578400,516967,12268,381197433.00,152683,29.53,20.60,10.95
21-May-2021,708.40,733.40,706.65,730.70,721.607919300605245460,557625,13109,402386616.00,294914,52.89,26.75,22.30
20-May-2021,709.50,714.55,704.50,705.90,709.802853103714175555,311240,6217,220919040.00,115772,37.20,10.05,-3.60
19-May-2021,703.00,723.60,702.45,716.70,713.726231552747258616,748892,15507,534503865.00,209768,28.01,21.15,13.70
18-May-2021,718.00,726.20,708.55,711.90,717.927905595641396157,415913,9672,298595549.00,106249,25.55,17.65,-6.10
17-May-2021,687.00,710.00,684.80,709.25,700.882626679682069389,668951,15032,468856134.00,355807,53.19,25.20,22.25
14-May-2021,695.00,698.15,681.50,685.10,689.391431829288157680,399035,11191,275091310.00,123814,31.03,16.65,-9.90
